"","account_id","client_id","client_age","gender","name","region","no..of.inhabitants","no..of.municipalities.with.inhabitants...499","no..of.municipalities.with.inhabitants.500.1999","no..of.municipalities.with.inhabitants.2000.9999","no..of.municipalities.with.inhabitants..10000","no..of.cities","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","frequency","account_age","date","amount","duration","payments","status","Avg_amount","balance"
"2",2,2,71,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,940105,80952,24,3373,1,7954.25740740741,32590.6240740741
"19",19,25,77,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,"monthly issuance",21,960429,30276,12,2523,-1,5856.3,25197.0925
"64",67,78,72,"F","Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,8,1.54,107,18,1913,"monthly issuance",22,960502,165960,24,6915,1,12822.3536,52523.2448
"124",132,158,71,"F","Teplice","north Bohemia",128118,9,16,6,3,8,85.3,9317,68,7.07,97,71,6872,"issuance after transaction",20,961106,88440,12,7370,1,14850.7677419355,62778.0903225806
"164",173,210,77,"M","Zdar nad Sazavou","south Moravia",125832,151,41,2,3,5,48.3,8512,46,4.12,102,28,2103,"monthly issuance",23,940531,104808,12,8734,1,6642.55333333333,38709.83
"275",290,352,76,"M","Breclav","south Moravia",124605,11,42,14,1,8,46,8772,57,4.98,126,37,3158,"monthly issuance",23,941103,123696,48,2577,1,8953.21967213115,49084.3819672131
"328",344,421,51,"M","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,"monthly issuance",23,941221,100980,60,1683,1,5261.04857142857,35614.7442857143
"331",347,424,69,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,950501,187224,24,7801,-1,10834.7159090909,42084.3113636364
"407",426,512,51,"F","Prostejov","south Moravia",110643,49,41,4,1,4,51.9,8441,45,4.48,115,20,2252,"monthly issuance",23,940719,252060,60,4201,-1,11625.1229508197,57340.5081967213
"477",501,603,50,"F","Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,33,3.26,123,9,1875,"monthly issuance",21,961024,262980,60,4383,1,7310.23928571429,41729.6160714286
